,date,ticker,marketcap
51073,2021-04-19,TPL,11991.0
51074,2021-04-16,TPL,12254.7
51075,2021-04-15,TPL,12209.6
51076,2021-04-14,TPL,12510.7
51077,2021-04-13,TPL,11949.4
51078,2021-04-12,TPL,12397.3
51079,2021-04-09,TPL,12395.8
51080,2021-04-08,TPL,12489.7
51081,2021-04-07,TPL,12507.3
51082,2021-04-06,TPL,12374.9
51083,2021-04-05,TPL,12316.7
51084,2021-04-01,TPL,12409.8
51085,2021-03-31,TPL,12327.9
51086,2021-03-30,TPL,11975.5
51087,2021-03-29,TPL,11450.7
51088,2021-03-26,TPL,12239.2
51089,2021-03-25,TPL,11882.5
51090,2021-03-24,TPL,11528.8
51091,2021-03-23,TPL,11062.7
51092,2021-03-22,TPL,12282.0
51093,2021-03-19,TPL,12995.1
51094,2021-03-18,TPL,11954.9
51095,2021-03-17,TPL,13214.8
51096,2021-03-16,TPL,12050.9
51097,2021-03-15,TPL,12083.5
51098,2021-03-12,TPL,11145.6
51099,2021-03-11,TPL,10974.6
51100,2021-03-10,TPL,10543.5
51101,2021-03-09,TPL,9945.2
51102,2021-03-08,TPL,9757.2
51103,2021-03-05,TPL,9307.4
51104,2021-03-04,TPL,9113.6
51105,2021-03-03,TPL,8975.4
51106,2021-03-02,TPL,8518.7
51107,2021-03-01,TPL,8592.1
51108,2021-02-26,TPL,8563.1
51109,2021-02-25,TPL,8623.8
51110,2021-02-24,TPL,8869.3
51111,2021-02-23,TPL,8641.0
51112,2021-02-22,TPL,8531.8
51113,2021-02-19,TPL,8601.6
51114,2021-02-18,TPL,8608.0
51115,2021-02-17,TPL,8864.0
51116,2021-02-16,TPL,9029.9
51117,2021-02-12,TPL,8685.2
51118,2021-02-11,TPL,8337.7
51119,2021-02-10,TPL,8267.6
51120,2021-02-09,TPL,7846.7
51121,2021-02-08,TPL,7911.3
51122,2021-02-05,TPL,7701.8
51123,2021-02-04,TPL,7457.5
51124,2021-02-03,TPL,7024.0
51125,2021-02-02,TPL,6654.3
51126,2021-02-01,TPL,6468.6
51127,2021-01-29,TPL,6455.0
51128,2021-01-28,TPL,6476.4
51129,2021-01-27,TPL,6252.2
51130,2021-01-26,TPL,6460.3
51131,2021-01-25,TPL,6391.0
51132,2021-01-22,TPL,6377.9
51133,2021-01-21,TPL,6289.5
51134,2021-01-20,TPL,6548.8
51135,2021-01-19,TPL,6583.8
51136,2021-01-15,TPL,6522.8
51137,2021-01-14,TPL,6623.5
51138,2021-01-13,TPL,6470.2
51139,2021-01-12,TPL,6832.3
51140,2021-01-11,TPL,6744.0
51141,2021-01-08,TPL,6212.7
51142,2021-01-07,TPL,6039.6
51143,2021-01-06,TPL,6150.8
51144,2021-01-05,TPL,6166.1
51145,2021-01-04,TPL,5868.0
51146,2020-12-31,TPL,5638.7
51147,2020-12-30,TPL,5611.5
51148,2020-12-29,TPL,5321.2
51149,2020-12-28,TPL,5382.8
51150,2020-12-24,TPL,5367.3
51151,2020-12-23,TPL,5421.6
51152,2020-12-22,TPL,5429.3
51153,2020-12-21,TPL,5619.3
51154,2020-12-18,TPL,5744.4
51155,2020-12-17,TPL,5611.8
51156,2020-12-16,TPL,5583.7
51157,2020-12-15,TPL,5429.3
51158,2020-12-14,TPL,5305.2
51159,2020-12-11,TPL,5367.3
51160,2020-12-10,TPL,5375.2
51161,2020-12-09,TPL,5296.5
51162,2020-12-08,TPL,5212.1
51163,2020-12-07,TPL,5191.9
51164,2020-12-04,TPL,5196.3
51165,2020-12-03,TPL,4968.0
51166,2020-12-02,TPL,4810.4
51167,2020-12-01,TPL,4762.4
51168,2020-11-30,TPL,4730.6
51169,2020-11-27,TPL,4568.4
51170,2020-11-25,TPL,4785.3
51171,2020-11-24,TPL,4898.0
51172,2020-11-23,TPL,4685.4
51173,2020-11-20,TPL,4477.3
51174,2020-11-19,TPL,4459.7
51175,2020-11-18,TPL,4493.9
51176,2020-11-17,TPL,4536.3
51177,2020-11-16,TPL,4498.5
51178,2020-11-13,TPL,4264.7
51179,2020-11-12,TPL,4166.8
51180,2020-11-11,TPL,4190.3
51181,2020-11-10,TPL,4312.6
51182,2020-11-09,TPL,4459.6
51183,2020-11-06,TPL,3859.3
51184,2020-11-05,TPL,3931.1
51185,2020-11-04,TPL,3680.4
51186,2020-11-03,TPL,3753.9
51187,2020-11-02,TPL,3610.0
51188,2020-10-30,TPL,3493.5
51189,2020-10-29,TPL,3603.7
51190,2020-10-28,TPL,3486.3
51191,2020-10-27,TPL,3592.7
51192,2020-10-26,TPL,3668.5
51193,2020-10-23,TPL,3707.3
51194,2020-10-22,TPL,3716.5
51195,2020-10-21,TPL,3591.5
51196,2020-10-20,TPL,3645.2
51197,2020-10-19,TPL,3660.9
51198,2020-10-16,TPL,3640.9
51199,2020-10-15,TPL,3734.0
51200,2020-10-14,TPL,3606.7
51201,2020-10-13,TPL,3565.1
51202,2020-10-12,TPL,3660.8
51203,2020-10-09,TPL,3619.0
51204,2020-10-08,TPL,3759.6
51205,2020-10-07,TPL,3668.5
51206,2020-10-06,TPL,3569.5
51207,2020-10-05,TPL,3529.9
51208,2020-10-02,TPL,3475.5
51209,2020-10-01,TPL,3491.8
51210,2020-09-30,TPL,3502.4
51211,2020-09-29,TPL,3506.2
51212,2020-09-28,TPL,3579.3
51213,2020-09-25,TPL,3498.0
51214,2020-09-24,TPL,3544.7
51215,2020-09-23,TPL,3425.9
51216,2020-09-22,TPL,3575.6
51217,2020-09-21,TPL,3564.4
51218,2020-09-18,TPL,3552.2
51219,2020-09-17,TPL,3563.3
51220,2020-09-16,TPL,3556.7
51221,2020-09-15,TPL,3595.8
51222,2020-09-14,TPL,3730.6
51223,2020-09-11,TPL,3708.5
51224,2020-09-10,TPL,3730.7
51225,2020-09-09,TPL,3945.8
51226,2020-09-08,TPL,3831.8
51227,2020-09-04,TPL,3961.0
51228,2020-09-03,TPL,4090.0
51229,2020-09-02,TPL,4171.3
51230,2020-09-01,TPL,4162.9
51231,2020-08-31,TPL,4085.3
51232,2020-08-28,TPL,4123.1
51233,2020-08-27,TPL,4170.8
51234,2020-08-26,TPL,4209.9
51235,2020-08-25,TPL,4228.2
51236,2020-08-24,TPL,4212.2
51237,2020-08-21,TPL,4285.4
51238,2020-08-20,TPL,4339.3
51239,2020-08-19,TPL,4437.4
51240,2020-08-18,TPL,4555.6
51241,2020-08-17,TPL,4628.4
51242,2020-08-14,TPL,4653.7
51243,2020-08-13,TPL,4568.3
51244,2020-08-12,TPL,4576.2
51245,2020-08-11,TPL,4562.2
51246,2020-08-10,TPL,4645.9
